Scope	ID	Key	Value
pept	SPONTANEOUS	PKO-c	unaf
pept	SPONTANEOUS	PKO-r	1
pept	gene:100039636	PKO-c	unaf
pept	gene:100039636	PKO-r	1
pept	gene:100040592	PKO-c	unaf
pept	gene:100040592	PKO-r	1
pept	gene:100042069	PKO-c	unaf
pept	gene:100042069	PKO-r	1
pept	gene:100043349	PKO-c	unaf
pept	gene:100043349	PKO-r	1
pept	gene:100163	PKO-c	unaf
pept	gene:100163	PKO-r	1
pept	gene:100198	PKO-c	unaf
pept	gene:100198	PKO-r	1
pept	gene:100678	PKO-c	unaf
pept	gene:100678	PKO-r	1
pept	gene:100705	PKO-c	unaf
pept	gene:100705	PKO-r	1
pept	gene:101488	PKO-c	unaf
pept	gene:101488	PKO-r	1
pept	gene:102216272	PKO-c	unaf
pept	gene:102216272	PKO-r	1
pept	gene:102247	PKO-c	unaf
pept	gene:102247	PKO-r	1
pept	gene:102448	PKO-c	unaf
pept	gene:102448	PKO-r	1
pept	gene:102857	PKO-c	unaf
pept	gene:102857	PKO-r	1
pept	gene:103149	PKO-c	unaf
pept	gene:103149	PKO-r	1
pept	gene:103711	PKO-c	unaf
pept	gene:103711	PKO-r	1
pept	gene:103850	PKO-c	unaf
pept	gene:103850	PKO-r	1
pept	gene:103988	PKO-c	unaf
pept	gene:103988	PKO-r	1
pept	gene:104015	PKO-c	unaf
pept	gene:104015	PKO-r	1
pept	gene:104112	PKO-c	unaf
pept	gene:104112	PKO-r	1
pept	gene:104174	PKO-c	unaf
pept	gene:104174	PKO-r	1
pept	gene:104245	PKO-c	unaf
pept	gene:104245	PKO-r	1
pept	gene:104418	PKO-c	unaf
pept	gene:104418	PKO-r	1
pept	gene:104776	PKO-c	unaf
pept	gene:104776	PKO-r	1
pept	gene:105243	PKO-c	unaf
pept	gene:105243	PKO-r	1
pept	gene:105355	PKO-c	unaf
pept	gene:105355	PKO-r	1
pept	gene:105446	PKO-c	unaf
pept	gene:105446	PKO-r	1
pept	gene:105727	PKO-c	unaf
pept	gene:105727	PKO-r	1
pept	gene:106557	PKO-c	unaf
pept	gene:106557	PKO-r	1
pept	gene:107029	PKO-c	unaf
pept	gene:107029	PKO-r	1
pept	gene:107272	PKO-c	unaf
pept	gene:107272	PKO-r	1
pept	gene:107476	PKO-c	leth
pept	gene:107476	PKO-r	0
pept	gene:107569	PKO-c	unaf
pept	gene:107569	PKO-r	1
pept	gene:107650	PKO-c	unaf
pept	gene:107650	PKO-r	1
pept	gene:107652	PKO-c	unaf
pept	gene:107652	PKO-r	1
pept	gene:107723	PKO-c	unaf
pept	gene:107723	PKO-r	1
pept	gene:107747	PKO-c	unaf
pept	gene:107747	PKO-r	1
pept	gene:107766	PKO-c	unaf
pept	gene:107766	PKO-r	1
pept	gene:107869	PKO-c	unaf
pept	gene:107869	PKO-r	1
pept	gene:108037	PKO-c	unaf
pept	gene:108037	PKO-r	1
pept	gene:108052	PKO-c	unaf
pept	gene:108052	PKO-r	1
pept	gene:108083	PKO-c	unaf
pept	gene:108083	PKO-r	1
pept	gene:108115	PKO-c	unaf
pept	gene:108115	PKO-r	1
pept	gene:108116	PKO-c	unaf
pept	gene:108116	PKO-r	1
pept	gene:108147	PKO-c	leth
pept	gene:108147	PKO-r	0
pept	gene:108156	PKO-c	unaf
pept	gene:108156	PKO-r	1
pept	gene:108645	PKO-c	unaf
pept	gene:108645	PKO-r	1
pept	gene:108664	PKO-c	unaf
pept	gene:108664	PKO-r	1
pept	gene:108682	PKO-c	unaf
pept	gene:108682	PKO-r	1
pept	gene:109264	PKO-c	unaf
pept	gene:109264	PKO-r	1
pept	gene:109342	PKO-c	unaf
pept	gene:109342	PKO-r	1
pept	gene:109674	PKO-c	unaf
pept	gene:109674	PKO-r	1
pept	gene:109731	PKO-c	unaf
pept	gene:109731	PKO-r	1
pept	gene:109778	PKO-c	unaf
pept	gene:109778	PKO-r	1
pept	gene:109785	PKO-c	unaf
pept	gene:109785	PKO-r	1
pept	gene:109801	PKO-c	unaf
pept	gene:109801	PKO-r	1
pept	gene:109900	PKO-c	unaf
pept	gene:109900	PKO-r	1
pept	gene:110006	PKO-c	unaf
pept	gene:110006	PKO-r	1
pept	gene:110074	PKO-c	unaf
pept	gene:110074	PKO-r	1
pept	gene:110175	PKO-c	unaf
pept	gene:110175	PKO-r	1
pept	gene:110196	PKO-c	impa
pept	gene:110196	PKO-r	0.641208325
pept	gene:110197	PKO-c	unaf
pept	gene:110197	PKO-r	1
pept	gene:110198	PKO-c	unaf
pept	gene:110198	PKO-r	1
pept	gene:110208	PKO-c	unaf
pept	gene:110208	PKO-r	1
pept	gene:110391	PKO-c	unaf
pept	gene:110391	PKO-r	1
pept	gene:110446	PKO-c	unaf
pept	gene:110446	PKO-r	1
pept	gene:110460	PKO-c	unaf
pept	gene:110460	PKO-r	1
pept	gene:110524	PKO-c	unaf
pept	gene:110524	PKO-r	1
pept	gene:110639	PKO-c	unaf
pept	gene:110639	PKO-r	1
pept	gene:110695	PKO-c	unaf
pept	gene:110695	PKO-r	1
pept	gene:110821	PKO-c	unaf
pept	gene:110821	PKO-r	1
pept	gene:110826	PKO-c	unaf
pept	gene:110826	PKO-r	1
pept	gene:110842	PKO-c	unaf
pept	gene:110842	PKO-r	1
pept	gene:110877	PKO-c	unaf
pept	gene:110877	PKO-r	1
pept	gene:110891	PKO-c	unaf
pept	gene:110891	PKO-r	1
pept	gene:110893	PKO-c	unaf
pept	gene:110893	PKO-r	1
pept	gene:110895	PKO-c	unaf
pept	gene:110895	PKO-r	1
pept	gene:110935	PKO-c	unaf
pept	gene:110935	PKO-r	1
pept	gene:11364	PKO-c	unaf
pept	gene:11364	PKO-r	1
pept	gene:113868	PKO-c	unaf
pept	gene:113868	PKO-r	1
pept	gene:11409	PKO-c	unaf
pept	gene:11409	PKO-r	1
pept	gene:114143	PKO-c	unaf
pept	gene:114143	PKO-r	1
pept	gene:11428	PKO-c	unaf
pept	gene:11428	PKO-r	1
pept	gene:11429	PKO-c	unaf
pept	gene:11429	PKO-r	1
pept	gene:11430	PKO-c	unaf
pept	gene:11430	PKO-r	1
pept	gene:114304	PKO-c	unaf
pept	gene:114304	PKO-r	1
pept	gene:114479	PKO-c	unaf
pept	gene:114479	PKO-r	1
pept	gene:114644	PKO-c	unaf
pept	gene:114644	PKO-r	1
pept	gene:114663	PKO-c	unaf
pept	gene:114663	PKO-r	1
pept	gene:11486	PKO-c	unaf
pept	gene:11486	PKO-r	1
pept	gene:114863	PKO-c	unaf
pept	gene:114863	PKO-r	1
pept	gene:114875	PKO-c	unaf
pept	gene:114875	PKO-r	1
pept	gene:11522	PKO-c	unaf
pept	gene:11522	PKO-r	1
pept	gene:11529	PKO-c	unaf
pept	gene:11529	PKO-r	1
pept	gene:11532	PKO-c	unaf
pept	gene:11532	PKO-r	1
pept	gene:11534	PKO-c	unaf
pept	gene:11534	PKO-r	1
pept	gene:11564	PKO-c	leth
pept	gene:11564	PKO-r	0
pept	gene:11565	PKO-c	unaf
pept	gene:11565	PKO-r	1
pept	gene:11566	PKO-c	unaf
pept	gene:11566	PKO-r	1
pept	gene:11611	PKO-c	unaf
pept	gene:11611	PKO-r	1
pept	gene:11628	PKO-c	unaf
pept	gene:11628	PKO-r	1
pept	gene:11636	PKO-c	unaf
pept	gene:11636	PKO-r	1
pept	gene:11637	PKO-c	unaf
pept	gene:11637	PKO-r	1
pept	gene:11655	PKO-c	unaf
pept	gene:11655	PKO-r	1
pept	gene:11656	PKO-c	unaf
pept	gene:11656	PKO-r	1
pept	gene:11668	PKO-c	unaf
pept	gene:11668	PKO-r	1
