Source	Sid	Equa
AAPSAS	R1043458B	MNXR95152
NADtn	R104B5A88	MNXR101900
ALAt2r	R10537924	MNXR95704
CSNATp	R107875F7	MNXR96926
DESAT18_5	R109B9919	MNXR97245
CHAT	R10C2331E	MNXR96666
CYSTS	R10DA3E48	MNXR97019
ESTRADIOLtr	R10EBC1D6	MNXR97955
ASPTAm	R115178B9	MNXR96079
ITCOALm	R1195710D	MNXR100884
AMETr	R121FF814	MNXR95809
ACGAMtly	R123A4809	MNXR95252
34DHOXPEGOX	R127BE1E1	MNXR94833
UREAt5	R129C168C	MNXR105156
DNDPt18m	R129DF873	MNXR97636
UROLACer	R12B02F09	MNXR105169
DCSPTN1CPT1	R12D7097E	MNXR97196
ORNt4m	R12DD15F4	MNXR102226
CYTK9	R12FF5E89	MNXR97060
ACOAO7p	R133DB2F1	MNXR95367
URATEtx	R13438DC6	MNXR105145
TYRASE	R13AD9208	MNXR104987
PItn	R13B7C132	MNXR102871
34HPPOR	R13BF81AA	MNXR94843
SERDGLNexR	R13D86025	MNXR104336
CHOLtr	R13DC63B4	MNXR96693
ITACTc	R1424343A	
DCMPDA	R1478E2F5	MNXR97185
FALDtly	R14A19F4F	MNXR99238
LEUTAm	R14CBBDC0	MNXR96229
BALAtmr	R14EFF963	MNXR95682
ACOi	R1531DBE0	MNXR95387
CYStec	R15353DB6	MNXR97029
METLEUex	R15693AA3	MNXR101477
PI4P4Pn	R1593561F	MNXR102763
BILIRUBt2	R15ADCF02	MNXR96261
NTD5m	R15B3599A	MNXR102035
ARGtiDF	R15B913A7	MNXR95951
TALA	R15C9D23E	MNXR104715
PI34P5K	R15CD4FCE	MNXR102684
CSNAT2m	R16498E73	MNXR96409
COAtm	R1659B344	MNXR96815
HXANtx	R166E0FE	MNXR100749
NDPK7	R16AA0DCC	MNXR101939
GLNtm	R16D59D55	MNXR100259
VALTA	R16FBD0E6	MNXR96230
ACOim	R174731BF	MNXR95387
LEUt4	R1747F6A8	MNXR101056
DNDPt43m	R17A6A32A	MNXR97656
ESTRONEtr	R17A6AA20	MNXR97963
LYStm	R17AB44E7	MNXR101267
AHC	R17AF74BF	MNXR95492
PYRt2r	R17B5BC97	MNXR103385
SULFOX	R17C49B7E	MNXR104648
NMNtn	R17FCEFF7	MNXR101972
ODECOAtx	R1812A3AF	MNXR102156
FE2tm	R182C3B3A	MNXR99501
RTOTAL3CRNCPT1	R18303FD3	MNXR104103
PSDm_hs	R1831425E	MNXR103241
ADNtm	R1861C13A	MNXR95460
"PIt7;PIt7ir"	R186ADE47	MNXR102874
GLYOp	R18BE3FA4	MNXR100352
ALAt4	R18E8BAB6	MNXR95692
PEFLIPm	R18FAE5F2	MNXR102479
EX_mercplaccys_LPAREN_e_RPAREN_	R191F17A4	MNXR98750
H2Otly	R192DA75A	MNXR98641
D_LACt2	R196CFCCC	MNXR97838
ARACHt	R1988A3CF	MNXR95921
FAOXC180	R19B74297	MNXR99313
HIBDm	R19D67A30	MNXR100634
ADNt	R19DFD707	MNXR95460
