chem	compart	coun
10fthf	cytoplasm	2
1pyr5c	mitochondrion	1
5aizc	cytoplasm	1
7dhchsterol	reticulum	1
Rtotal2coa	cytoplasm	2
Rtotal3coa	cytoplasm	2
Rtotalcoa	cytoplasm	1
Tyr_ggn	cytoplasm	1
accoa	cytoplasm	2
adp	cytoplasm	8
adp	mitochondrion	1
aicar	cytoplasm	1
air	cytoplasm	2
alpa_hs	cytoplasm	2
amp	cytoplasm	4
asn__L	cytoplasm	1
asp__L	cytoplasm	2
atp	cytoplasm	12
atp	mitochondrion	1
cbasp	cytoplasm	1
cbp	cytoplasm	1
chsterol	cytoplasm	1
chsterol	mitochondrion	2
chsterol	reticulum	2
co2	cytoplasm	9
co2	mitochondrion	1
coa	cytoplasm	11
coa	peroxisome	1
dadp	cytoplasm	2
dag_hs	cytoplasm	1
damp	cytoplasm	1
datp	cytoplasm	1
dcacoa	cytoplasm	2
dcamp	cytoplasm	1
ddcacoa	cytoplasm	2
dgdp	cytoplasm	1
dgmp	cytoplasm	1
dhap	chloroplast	1
dhor__S	cytoplasm	2
fgam	cytoplasm	2
fpram	cytoplasm	2
fprica	cytoplasm	2
g1p	cytoplasm	1
g6p	cytoplasm	1
gar	cytoplasm	2
gdp	cytoplasm	1
ggn	cytoplasm	2
gln__L	cytoplasm	5
glu5p	mitochondrion	2
glu5sa	mitochondrion	2
glu__L	cytoplasm	5
glu__L	mitochondrion	1
gly	cytoplasm	1
glyc3p	cytoplasm	1
glyc3p	chloroplast	1
glygn1	cytoplasm	2
glygn2	cytoplasm	1
gmp	cytoplasm	1
gtp	cytoplasm	1
h2co3	cytoplasm	1
h2o	cytoplasm	17
h2o	mitochondrion	1
h	cytoplasm	49
h	chloroplast	1
h	mitochondrion	3
h	reticulum	1
hco3	cytoplasm	2
hdca	cytoplasm	1
hdca	reticulum	1
hdcea	cytoplasm	1
hdcoa	cytoplasm	1
ile__L	cytoplasm	1
ile__L	extracellular	1
imp	cytoplasm	3
malcoa	cytoplasm	7
nad	cytoplasm	1
nad	chloroplast	1
nadh	cytoplasm	1
nadh	chloroplast	1
nadp	cytoplasm	13
nadp	mitochondrion	1
nadp	reticulum	1
nadph	cytoplasm	13
nadph	mitochondrion	1
nadph	reticulum	1
o2	cytoplasm	1
o2	extracellular	1
occoa	cytoplasm	2
orot5p	cytoplasm	2
orot	cytoplasm	2
pa_hs	cytoplasm	1
pe_hs	mitochondrion	1
pglyc_hs	cytoplasm	1
pgp_hs	cytoplasm	1
pi	cytoplasm	8
pi	mitochondrion	1
pmtcoa	cytoplasm	2
ppi	cytoplasm	5
pram	cytoplasm	2
pro__L	cytoplasm	1
pro__L	mitochondrion	1
prpp	cytoplasm	3
ps_hs	cytoplasm	1
ps_hs	mitochondrion	2
q10	mitochondrion	1
q10h2	mitochondrion	1
r5p	cytoplasm	2
ru5p__D	cytoplasm	1
tag_hs	cytoplasm	1
tdcoa	cytoplasm	1
thf	cytoplasm	2
trdox	cytoplasm	1
trdrd	cytoplasm	1
trp__L	cytoplasm	1
trp__L	extracellular	1
udp	cytoplasm	11
udpg	cytoplasm	11
ump	cytoplasm	1
val__L	cytoplasm	1
val__L	extracellular	1
xmp	cytoplasm	2
