Reaction	Complex	Direction
R1043458B		LR
R104B5A88		B
R10537924	gene:215335	B
R107875F7	gene:12908	B
R109B9919	gene:20249	LR
R10C2331E	gene:12647	B
R10DA3E48	gene:12411	LR
R10EBC1D6		B
R115178B9	gene:14719	B
R1195710D	gene:20916+gene:56451	B
R121FF814		B
R123A4809		LR
R127BE1E1	"gene:11522+gene:S0001;gene:11529;gene:11532;gene:26876;gene:76187;gene:S0001"	B
R129C168C	gene:20537	B
R129DF873	gene:67283	LR
R12B02F09		B
R12D7097E	"gene:12894;gene:12895;gene:78070"	RL
R12DD15F4	"gene:18408;gene:83885"	B
R12FF5E89	gene:66588	B
R133DB2F1	gene:11430	RL
R13438DC6		LR
R13AD9208	gene:22178	LR
R13B7C132		B
R13BF81AA	gene:15445	RL
R13D86025	gene:17254+gene:53896	B
R13DC63B4		B
R1424343A		B
R1478E2F5	gene:320685	B
R14A19F4F		B
R14CBBDC0	gene:12036	B
R14EFF963		B
R1531DBE0	"gene:11428;gene:11429"	B
R15353DB6	gene:215113	B
R15693AA3	gene:17254+gene:20539	RL
R1593561F		RL
R15ADCF02	gene:28253	B
R15B3599A	gene:103850	LR
R15B913A7	"gene:11987;gene:11988;gene:11989;gene:69354"	LR
R15C9D23E	gene:21351	B
R15CD4FCE	"gene:18717;gene:18719;gene:18720"	RL
R16498E73	gene:12908	B
R1659B344	gene:73132	B
R166E0FE		RL
R16AA0DCC	"gene:171567;gene:18102+gene:18103;gene:54369;gene:79059"	B
R16D59D55		LR
R16FBD0E6	gene:12035	B
R174731BF	"gene:11428;gene:11429"	B
R1747F6A8	"gene:105727;gene:11987;gene:11988;gene:11989;gene:17254;gene:56774;gene:69354"	LR
R17A6A32A	gene:67283	RL
R17A6AA20		B
R17AB44E7	"gene:18408;gene:83885"	B
R17AF74BF	"gene:229709;gene:269378"	B
R17B5BC97	"gene:20501;gene:20503;gene:80879"	B
R17C49B7E	gene:211389	LR
R17FCEFF7		B
R1812A3AF		B
R182C3B3A		LR
R18303FD3	"gene:12894;gene:12895;gene:78070"	RL
R1831425E	gene:320951	RL
R1861C13A	gene:63959	B
R186ADE47	"gene:105355;gene:20504;gene:218103;gene:319848"	LR
R186ADE47	"gene:20505;gene:20531"	B
R18BE3FA4		RL
R18E8BAB6	"gene:105727;gene:11987;gene:11988;gene:11989;gene:56774;gene:67760;gene:69354"	LR
R18FAE5F2	"gene:11980;gene:11982"	LR
R191F17A4		LR
R192DA75A		B
R196CFCCC	"gene:20501;gene:20503;gene:57274;gene:80879"	B
R1988A3CF		B
R19B74297	"gene:11364;gene:11409"	RL
R19D67A30	gene:58875	B
R19DFD707	"gene:13340;gene:63959"	B
R1A63C509	gene:15360	LR
R1A7ABDC9		B
R1ACF8AE0	gene:21915	RL
R1AD72FDA		LR
R1AF01B4B		LR
R1AF31D55	gene:14718	B
R1AFE463C		RL
R1B10CE3D	"gene:20514;gene:55963"	RL
R1B3D78B4	"gene:12894;gene:12895;gene:78070"	RL
R1B491561		B
R1B5F815F	gene:71780	LR
R1B97B703	"gene:18641;gene:18641+gene:18642;gene:18641+gene:56421;gene:18642;gene:18642+gene:56421;gene:56421"	RL
R1BD00C68	"gene:100705+gene:107476;gene:107476"	RL
R1BEFE67E	gene:56473	LR
R1C00D5C	gene:14081	B
R1C260C6A	gene:22247	B
R1C6518C	"gene:107723;gene:20498;gene:20499"	B
R1CA49BF6	gene:21915	B
R1CD53676	gene:67283	LR
R1CDED4D0	gene:110198	LR
R1CDED4D0	"gene:11522;gene:11522+gene:S0001;gene:11529;gene:11532;gene:225791;gene:26876;gene:76187;gene:S0001"	RL
R1CF34B54		B
R1D09A707	gene:66588	B
R1D0A462		RL
R1D441982	gene:13358	B
R1D7E30C7		B
R1E08DB5D		B
R1E48C25F	gene:67283	RL
R1ECC7F1D		B
R1ED11CB4	gene:57279	LR
R1ED8D54F	gene:67283	RL
R1ED8D54F	gene:67283	LR
R1EF9F205		LR
R1F264765	"gene:14979;gene:15485"	B
R1F3DA244	gene:20514	LR
R1F40E5F3	gene:22173	LR
R1F7067FD	gene:15288	RL
R1F7DDEBD	"gene:11757;gene:625249"	B
R1FA361B8	gene:104776	RL
R1FD6DF1E	"gene:53357;gene:S0001"	RL
R20343994	"gene:12894;gene:12895;gene:78070"	RL
R20362890		LR
R2077EDA2		B
R2092DDF4	gene:20509	B
R209E6C68	"gene:11364;gene:11409"	LR
R20E9471F		RL
R20F27F8B	gene:114863	B
R21276B15	gene:67283	LR
R21326CB3		LR
R218838F7	gene:14385	B
R21E1E539	"gene:114875;gene:18795;gene:18796;gene:18797;gene:18798;gene:18799;gene:18802;gene:18803;gene:234779;gene:269437;gene:269615;gene:433022;gene:72469;gene:74055;gene:S0001"	RL
R22075E5F	gene:13244	LR
R22135C3D	gene:109900	B
R224CDF6D	gene:67283	LR
R226FA1F4	gene:56357	LR
R22AD1D2B		B
R22D616C5	"gene:106557;gene:16828;gene:16828+gene:16832;gene:16832;gene:16833;gene:54122;gene:S0001"	B
R2300655D		B
R2319D2EE	"gene:14377;gene:14378;gene:68401"	LR
R233C0CE3	gene:50773	LR
R23938E4D	"gene:109778;gene:233016"	LR
R239F0B50		LR
R23A518C2	gene:83603	RL
R23FFF11A	SPONTANEOUS	B
R24001C06	gene:66841	B
R241AB01B		LR
R24203A2B	gene:12908	B
R243773E7	gene:66646	B
R2465BD86	gene:56454	LR
R246873BD	gene:52858	B
R247CAC7E		B
R24D5CF3A	gene:11611	RL
R24F26984		B
R250FD288		B
R25475DA9	"gene:14081;gene:433256;gene:74205;gene:S0001"	LR
R25559D2F	gene:66588	B
R256C3C74	gene:14317	LR
R2579B3B7	gene:14381	B
R25AD0016	gene:12091+gene:18010+gene:19025+gene:50917	B
R25EE8D49		B
R262242BA		LR
R26362FF0	gene:20133+gene:20135	RL
R2661DB90		B
R266F0806	gene:57028	LR
R268D4601		B
R26CF444F		B
R26E4280E	"gene:108156;gene:S0001"	RL
R26F0C5C0	gene:108147	B
R2708BDA7	gene:12359	LR
R2738809E	gene:18478	LR
R276A6E5E	"gene:108645+gene:232087;gene:11720"	RL
R27748B60		B
R277DD8F5	gene:57279	LR
R278742B	gene:66588	B
R27D5442B	gene:110074	RL
R28015865		B
